QUERIES_TOP  ,QUERIES_TOP popularity,QUERIES_RISING,QUERIES_RISING POPULARITY
Exfoliation,100,Face,Breakout
Face,14,Paula's Choice,Breakout
Skin,14,Chemical substance,Breakout
Paula's Choice,12,Beta hydroxy acid,Breakout
Paula's Choice Skin Perfecting 2% BHA Liquid Exfoliant,12,Alpha hydroxy acid,Breakout
Chemical substance,11,Oil,Breakout
Beta hydroxy acid,9,Acid,Breakout
Cleanser,4,Mask,Breakout
Acne,4,Moisturizer,Breakout
Glycolic acid,4,Foot,Breakout
Human body,4,Salicylic acid,Breakout
Facial,3,Lips,Breakout
Cream,3,Sensitive skin,Breakout
Alpha hydroxy acid,3,Do it yourself,Breakout
Skin care,3,Gel,Breakout
Oil,3,Ulta Beauty,Breakout
Acid,3,Vitamin,Breakout
Mask,3,Sodium carbonate,Breakout
Toner,3,Xeroderma,Breakout
Vitamin A,3,Sephora,Breakout
Facial Scrub,3,Serum,Breakout
Moisturizer,3,Vitamin C,Breakout
The Ordinary,3,e.l.f. Gentle Peeling Exfoliant,Breakout
Foot,2,Comedo,Breakout
Salicylic acid,2,Lotion,Breakout
