City,Popularity
Maryland,100
California,87
Nevada,85
Rhode Island,84
Washington,79
Delaware,78
New Jersey,78
Massachusetts,78
Louisiana,75
Oregon,74
Arizona,73
Utah,72
Connecticut,71
Colorado,69
Texas,69
New Mexico,68
Oklahoma,67
Arkansas,66
Maine,64
South Carolina,64
Florida,63
District of Columbia,63
Georgia,63
North Carolina,62
Virginia,62
Illinois,61
Michigan,61
Minnesota,61
Kansas,61
Wisconsin,61
Tennessee,60
Alabama,59
Indiana,59
Pennsylvania,59
Montana,58
New Hampshire,58
Ohio,58
Missouri,58
Mississippi,57
Kentucky,57
Nebraska,56
Idaho,56
Iowa,52
West Virginia,51
Vermont,48
North Dakota,46
