City,City_Popularity,Month,Month_Popularity,TOPICS_TOP  ,TOPICS_TOP popularity,TOPICS_RISING,TOPICS_RISING POPULARITY,QUERIES_TOP  ,QUERIES_TOP popularity,QUERIES_RISING,QUERIES_RISING POPULARITY,TOP city,Popularity
Edgecliff Village,100,2004-01,23,Exfoliation,100,Face,Breakout,skin exfoliant,100,bha exfoliant,Breakout,Maryland,100
Happy Valley,91,2004-02,0,Face,14,Paula's Choice,Breakout,bha exfoliant,78,bha,Breakout,California,87
,,2004-03,14,Skin,14,Chemical substance,Breakout,bha,72,best exfoliant,Breakout,Nevada,85
,,2004-04,58,Paula's Choice,12,Beta hydroxy acid,Breakout,best exfoliant,70,face exfoliant,Breakout,Rhode Island,84
,,2004-05,13,Paula's Choice Skin Perfecting 2% BHA Liquid Exfoliant,12,Alpha hydroxy acid,Breakout,face exfoliant,70,chemical exfoliant,Breakout,Washington,79
,,2004-06,57,Chemical substance,11,Oil,Breakout,chemical exfoliant,65,exfoliant for face,Breakout,Delaware,78
,,2004-07,10,Beta hydroxy acid,9,Acid,Breakout,exfoliant for face,37,liquid exfoliant,Breakout,New Jersey,78
,,2004-08,11,Cleanser,4,Mask,Breakout,liquid exfoliant,36,acid exfoliant,Breakout,Massachusetts,78
,,2004-09,11,Acne,4,Moisturizer,Breakout,acid exfoliant,36,body exfoliant,Breakout,Louisiana,75
,,2004-10,23,Glycolic acid,4,Foot,Breakout,exfoliant scrub,32,facial exfoliant,Breakout,Oregon,74
,,2004-11,10,Human body,4,Salicylic acid,Breakout,natural exfoliant,28,bha liquid exfoliant,Breakout,Arizona,73
,,2004-12,29,Facial,3,Lips,Breakout,body exfoliant,27,dermalogica,Breakout,Utah,72
,,2005-01,14,Cream,3,Sensitive skin,Breakout,facial exfoliant,26,aha exfoliant,Breakout,Connecticut,71
,,2005-02,7,Alpha hydroxy acid,3,Do it yourself,Breakout,bha liquid exfoliant,22,aha,Breakout,Colorado,69
,,2005-03,20,Skin care,3,Gel,Breakout,dermalogica exfoliant,21,best chemical exfoliant,Breakout,Texas,69
,,2005-04,34,Oil,3,Ulta Beauty,Breakout,dermalogica,21,toner,Breakout,New Mexico,68
,,2005-05,10,Acid,3,Vitamin,Breakout,exfoliator,21,exfoliant products,Breakout,Oklahoma,67
,,2005-06,11,Mask,3,Sodium carbonate,Breakout,aha exfoliant,20,salicylic acid,Breakout,Arkansas,66
,,2005-07,17,Toner,3,Xeroderma,Breakout,aha,20,best exfoliant for face,Breakout,Maine,64
,,2005-08,14,Vitamin A,3,Sephora,Breakout,homemade exfoliant,17,exfoliant for sensitive skin,Breakout,South Carolina,64
,,2005-09,26,Facial Scrub,3,Serum,Breakout,best chemical exfoliant,16,the ordinary exfoliant,Breakout,Florida,63
,,2005-10,18,Moisturizer,3,Vitamin C,Breakout,toner,15,lip exfoliant,Breakout,District of Columbia,63
,,2005-11,13,The Ordinary,3,e.l.f. Gentle Peeling Exfoliant,Breakout,exfoliate,15,paulas choice exfoliant,Breakout,Georgia,63
,,2005-12,15,Foot,2,Comedo,Breakout,ordinary exfoliant,14,aha bha exfoliant,Breakout,North Carolina,62
,,2006-01,9,Salicylic acid,2,Lotion,Breakout,sugar exfoliant,14,2 bha liquid exfoliant,Breakout,Virginia,62
,,2006-02,11,,,,,,,,,Illinois,61
,,2006-03,12,,,,,,,,,Michigan,61
,,2006-04,9,,,,,,,,,Minnesota,61
,,2006-05,17,,,,,,,,,Kansas,61
,,2006-06,18,,,,,,,,,Wisconsin,61
,,2006-07,14,,,,,,,,,Tennessee,60
,,2006-08,8,,,,,,,,,Alabama,59
,,2006-09,4,,,,,,,,,Indiana,59
,,2006-10,9,,,,,,,,,Pennsylvania,59
,,2006-11,7,,,,,,,,,Montana,58
,,2006-12,9,,,,,,,,,New Hampshire,58
,,2007-01,13,,,,,,,,,Ohio,58
,,2007-02,13,,,,,,,,,Missouri,58
,,2007-03,10,,,,,,,,,Mississippi,57
,,2007-04,14,,,,,,,,,Kentucky,57
,,2007-05,15,,,,,,,,,Nebraska,56
,,2007-06,15,,,,,,,,,Idaho,56
,,2007-07,16,,,,,,,,,Iowa,52
,,2007-08,13,,,,,,,,,West Virginia,51
,,2007-09,14,,,,,,,,,Vermont,48
,,2007-10,9,,,,,,,,,North Dakota,46
,,2007-11,11,,,,,,,,,,
,,2007-12,10,,,,,,,,,,
,,2008-01,15,,,,,,,,,,
,,2008-02,8,,,,,,,,,,
,,2008-03,13,,,,,,,,,,
,,2008-04,13,,,,,,,,,,
,,2008-05,9,,,,,,,,,,
,,2008-06,13,,,,,,,,,,
,,2008-07,14,,,,,,,,,,
,,2008-08,18,,,,,,,,,,
,,2008-09,13,,,,,,,,,,
,,2008-10,12,,,,,,,,,,
,,2008-11,21,,,,,,,,,,
,,2008-12,13,,,,,,,,,,
,,2009-01,14,,,,,,,,,,
,,2009-02,14,,,,,,,,,,
,,2009-03,14,,,,,,,,,,
,,2009-04,19,,,,,,,,,,
,,2009-05,13,,,,,,,,,,
,,2009-06,22,,,,,,,,,,
,,2009-07,12,,,,,,,,,,
,,2009-08,12,,,,,,,,,,
,,2009-09,15,,,,,,,,,,
,,2009-10,20,,,,,,,,,,
,,2009-11,9,,,,,,,,,,
,,2009-12,18,,,,,,,,,,
,,2010-01,13,,,,,,,,,,
,,2010-02,11,,,,,,,,,,
,,2010-03,13,,,,,,,,,,
,,2010-04,14,,,,,,,,,,
,,2010-05,21,,,,,,,,,,
,,2010-06,17,,,,,,,,,,
,,2010-07,17,,,,,,,,,,
,,2010-08,17,,,,,,,,,,
,,2010-09,15,,,,,,,,,,
,,2010-10,10,,,,,,,,,,
,,2010-11,14,,,,,,,,,,
,,2010-12,14,,,,,,,,,,
,,2011-01,20,,,,,,,,,,
,,2011-02,15,,,,,,,,,,
,,2011-03,20,,,,,,,,,,
,,2011-04,18,,,,,,,,,,
,,2011-05,18,,,,,,,,,,
,,2011-06,19,,,,,,,,,,
,,2011-07,17,,,,,,,,,,
,,2011-08,15,,,,,,,,,,
,,2011-09,16,,,,,,,,,,
,,2011-10,15,,,,,,,,,,
,,2011-11,14,,,,,,,,,,
,,2011-12,17,,,,,,,,,,
,,2012-01,18,,,,,,,,,,
,,2012-02,17,,,,,,,,,,
,,2012-03,20,,,,,,,,,,
,,2012-04,18,,,,,,,,,,
,,2012-05,20,,,,,,,,,,
,,2012-06,18,,,,,,,,,,
,,2012-07,22,,,,,,,,,,
,,2012-08,19,,,,,,,,,,
,,2012-09,15,,,,,,,,,,
,,2012-10,18,,,,,,,,,,
,,2012-11,23,,,,,,,,,,
,,2012-12,16,,,,,,,,,,
,,2013-01,20,,,,,,,,,,
,,2013-02,19,,,,,,,,,,
,,2013-03,20,,,,,,,,,,
,,2013-04,20,,,,,,,,,,
,,2013-05,17,,,,,,,,,,
,,2013-06,22,,,,,,,,,,
,,2013-07,26,,,,,,,,,,
,,2013-08,19,,,,,,,,,,
,,2013-09,17,,,,,,,,,,
,,2013-10,19,,,,,,,,,,
,,2013-11,22,,,,,,,,,,
,,2013-12,19,,,,,,,,,,
,,2014-01,23,,,,,,,,,,
,,2014-02,25,,,,,,,,,,
,,2014-03,22,,,,,,,,,,
,,2014-04,26,,,,,,,,,,
,,2014-05,27,,,,,,,,,,
,,2014-06,21,,,,,,,,,,
,,2014-07,25,,,,,,,,,,
,,2014-08,24,,,,,,,,,,
,,2014-09,23,,,,,,,,,,
,,2014-10,20,,,,,,,,,,
,,2014-11,18,,,,,,,,,,
,,2014-12,24,,,,,,,,,,
,,2015-01,22,,,,,,,,,,
,,2015-02,21,,,,,,,,,,
,,2015-03,26,,,,,,,,,,
,,2015-04,28,,,,,,,,,,
,,2015-05,23,,,,,,,,,,
,,2015-06,28,,,,,,,,,,
,,2015-07,29,,,,,,,,,,
,,2015-08,28,,,,,,,,,,
,,2015-09,27,,,,,,,,,,
,,2015-10,21,,,,,,,,,,
,,2015-11,25,,,,,,,,,,
,,2015-12,24,,,,,,,,,,
,,2016-01,32,,,,,,,,,,
,,2016-02,29,,,,,,,,,,
,,2016-03,30,,,,,,,,,,
,,2016-04,30,,,,,,,,,,
,,2016-05,30,,,,,,,,,,
,,2016-06,33,,,,,,,,,,
,,2016-07,24,,,,,,,,,,
,,2016-08,23,,,,,,,,,,
,,2016-09,25,,,,,,,,,,
,,2016-10,22,,,,,,,,,,
,,2016-11,27,,,,,,,,,,
,,2016-12,27,,,,,,,,,,
,,2017-01,29,,,,,,,,,,
,,2017-02,25,,,,,,,,,,
,,2017-03,31,,,,,,,,,,
,,2017-04,40,,,,,,,,,,
,,2017-05,31,,,,,,,,,,
,,2017-06,32,,,,,,,,,,
,,2017-07,38,,,,,,,,,,
,,2017-08,30,,,,,,,,,,
,,2017-09,30,,,,,,,,,,
,,2017-10,34,,,,,,,,,,
,,2017-11,27,,,,,,,,,,
,,2017-12,34,,,,,,,,,,
,,2018-01,37,,,,,,,,,,
,,2018-02,39,,,,,,,,,,
,,2018-03,40,,,,,,,,,,
,,2018-04,35,,,,,,,,,,
,,2018-05,34,,,,,,,,,,
,,2018-06,35,,,,,,,,,,
,,2018-07,36,,,,,,,,,,
,,2018-08,36,,,,,,,,,,
,,2018-09,27,,,,,,,,,,
,,2018-10,31,,,,,,,,,,
,,2018-11,32,,,,,,,,,,
,,2018-12,36,,,,,,,,,,
,,2019-01,36,,,,,,,,,,
,,2019-02,38,,,,,,,,,,
,,2019-03,41,,,,,,,,,,
,,2019-04,41,,,,,,,,,,
,,2019-05,45,,,,,,,,,,
,,2019-06,45,,,,,,,,,,
,,2019-07,42,,,,,,,,,,
,,2019-08,41,,,,,,,,,,
,,2019-09,39,,,,,,,,,,
,,2019-10,36,,,,,,,,,,
,,2019-11,40,,,,,,,,,,
,,2019-12,51,,,,,,,,,,
,,2020-01,52,,,,,,,,,,
,,2020-02,49,,,,,,,,,,
,,2020-03,44,,,,,,,,,,
,,2020-04,68,,,,,,,,,,
,,2020-05,72,,,,,,,,,,
,,2020-06,58,,,,,,,,,,
,,2020-07,66,,,,,,,,,,
,,2020-08,64,,,,,,,,,,
,,2020-09,58,,,,,,,,,,
,,2020-10,58,,,,,,,,,,
,,2020-11,55,,,,,,,,,,
,,2020-12,56,,,,,,,,,,
,,2021-01,70,,,,,,,,,,
,,2021-02,71,,,,,,,,,,
,,2021-03,80,,,,,,,,,,
,,2021-04,70,,,,,,,,,,
,,2021-05,60,,,,,,,,,,
,,2021-06,61,,,,,,,,,,
,,2021-07,62,,,,,,,,,,
,,2021-08,59,,,,,,,,,,
,,2021-09,57,,,,,,,,,,
,,2021-10,52,,,,,,,,,,
,,2021-11,62,,,,,,,,,,
,,2021-12,62,,,,,,,,,,
,,2022-01,72,,,,,,,,,,
,,2022-02,77,,,,,,,,,,
,,2022-03,76,,,,,,,,,,
,,2022-04,71,,,,,,,,,,
,,2022-05,72,,,,,,,,,,
,,2022-06,69,,,,,,,,,,
,,2022-07,72,,,,,,,,,,
,,2022-08,100,,,,,,,,,,
,,2022-09,85,,,,,,,,,,
,,2022-10,82,,,,,,,,,,
,,2022-11,84,,,,,,,,,,
,,2022-12,86,,,,,,,,,,
