State,Popularity
New York,100
California,80
Hawaii,75
New Jersey,74
Louisiana,71
Delaware,69
Mississippi,68
Texas,68
Rhode Island,68
Nevada,67
Maryland,67
Florida,66
Illinois,65
North Carolina,65
Alabama,63
Georgia,62
Connecticut,62
Virginia,58
Arizona,58
Massachusetts,57
Arkansas,57
South Carolina,57
New Mexico,56
Tennessee,56
Washington,54
Michigan,54
North Dakota,53
Pennsylvania,53
Oklahoma,53
Utah,53
Kentucky,52
Indiana,52
New Hampshire,52
Ohio,51
Oregon,50
Iowa,50
Kansas,49
Missouri,49
Colorado,48
Minnesota,48
West Virginia,48
Wisconsin,48
Alaska,48
Maine,48
Nebraska,47
South Dakota,46
Idaho,45
District of Columbia,45
Vermont,42
Montana,42
