QUERIES_TOP  ,QUERIES_TOP popularity,QUERIES_RISING,QUERIES_RISING POPULARITY
Face,100,Acne,Breakout
Cream,96,Pimples,Breakout
Skin,15,Night,Breakout
Moisturizer,9,Vitamin,Breakout
Cream,6,CeraVe,Breakout
Eye,6,Xeroderma,Breakout
Cleanser,6,Face mask,Breakout
Acne,5,Dermatitis,Breakout
Oil,4,Vitamin C,Breakout
Anti-aging product,4,Serum,Breakout
Pimples,4,Neutrogena,Breakout
Wrinkle,4,Gel,Breakout
Lotion,4,Hair removal,Breakout
Ageing,4,Skin rash,Breakout
Mask,4,BB cream,Breakout
Night,4,Shaving cream,Breakout
Eye Cream,3,Hydrocortisone,Breakout
Vitamin,3,Collagen,Breakout
Ice cream,3,Sensitive skin,Breakout
Sunscreen,3,Human skin,Breakout
Vitamin A,3,Foundation,Breakout
Product,3,Neck,Breakout
Skin care,3,Over-the-counter drug,Breakout
Cosmetics,3,POND'S,Breakout
CeraVe,3,CeraVe Moisturizing Cream,Breakout
