State,Popularity
New York,100
New Jersey,77
California,74
Florida,73
Connecticut,71
Massachusetts,69
Nevada,69
Maryland,68
Illinois,66
Pennsylvania,64
Delaware,64
Rhode Island,64
Texas,64
Arizona,62
Hawaii,62
Georgia,62
South Carolina,61
Michigan,60
North Carolina,60
Washington,60
Louisiana,59
Virginia,58
Ohio,58
Tennessee,58
Mississippi,58
New Mexico,56
Minnesota,56
New Hampshire,55
Colorado,54
West Virginia,54
Indiana,54
Kentucky,53
Oregon,53
Alabama,53
Maine,52
Vermont,52
Missouri,50
Idaho,49
Arkansas,48
Oklahoma,48
Wisconsin,48
South Dakota,48
Utah,46
Alaska,46
Kansas,46
Wyoming,46
Montana,45
District of Columbia,44
North Dakota,44
Nebraska,43
Iowa,40
