State,Popularity
New York,100
Hawaii,96
California,89
Massachusetts,84
Washington,80
New Jersey,80
Colorado,76
Arizona,74
Nevada,72
Connecticut,71
Maryland,71
Georgia,69
Florida,68
Utah,67
Texas,67
Tennessee,66
Louisiana,65
North Carolina,64
Oregon,64
Illinois,63
Pennsylvania,62
Vermont,61
Minnesota,61
Virginia,59
Montana,59
Rhode Island,59
Idaho,57
South Carolina,56
Indiana,56
Kansas,56
New Hampshire,56
Delaware,55
Ohio,55
Oklahoma,53
New Mexico,52
Missouri,52
Kentucky,52
Arkansas,52
Maine,52
District of Columbia,52
Wyoming,52
Alabama,51
Michigan,51
Wisconsin,51
Mississippi,50
Nebraska,50
North Dakota,49
South Dakota,49
Alaska,49
Iowa,48
West Virginia,40
