Month,Popularity
2004-01,6
2004-02,5
2004-03,9
2004-04,12
2004-05,17
2004-06,19
2004-07,14
2004-08,7
2004-09,6
2004-10,7
2004-11,6
2004-12,4
2005-01,6
2005-02,7
2005-03,11
2005-04,13
2005-05,16
2005-06,21
2005-07,17
2005-08,9
2005-09,6
2005-10,6
2005-11,6
2005-12,5
2006-01,6
2006-02,6
2006-03,9
2006-04,13
2006-05,18
2006-06,20
2006-07,17
2006-08,9
2006-09,7
2006-10,5
2006-11,5
2006-12,5
2007-01,6
2007-02,7
2007-03,10
2007-04,12
2007-05,19
2007-06,22
2007-07,16
2007-08,10
2007-09,7
2007-10,5
2007-11,5
2007-12,4
2008-01,5
2008-02,6
2008-03,8
2008-04,14
2008-05,18
2008-06,23
2008-07,22
2008-08,8
2008-09,5
2008-10,5
2008-11,4
2008-12,4
2009-01,6
2009-02,6
2009-03,9
2009-04,13
2009-05,19
2009-06,21
2009-07,16
2009-08,10
2009-09,6
2009-10,6
2009-11,5
2009-12,4
2010-01,6
2010-02,6
2010-03,10
2010-04,14
2010-05,25
2010-06,31
2010-07,21
2010-08,10
2010-09,6
2010-10,5
2010-11,4
2010-12,4
2011-01,6
2011-02,7
2011-03,10
2011-04,15
2011-05,23
2011-06,32
2011-07,24
2011-08,13
2011-09,7
2011-10,6
2011-11,4
2011-12,4
2012-01,6
2012-02,6
2012-03,13
2012-04,15
2012-05,26
2012-06,33
2012-07,20
2012-08,11
2012-09,8
2012-10,6
2012-11,5
2012-12,4
2013-01,6
2013-02,7
2013-03,12
2013-04,16
2013-05,29
2013-06,34
2013-07,25
2013-08,13
2013-09,9
2013-10,6
2013-11,5
2013-12,5
2014-01,7
2014-02,8
2014-03,12
2014-04,17
2014-05,32
2014-06,36
2014-07,29
2014-08,15
2014-09,9
2014-10,7
2014-11,6
2014-12,6
2015-01,7
2015-02,8
2015-03,14
2015-04,19
2015-05,33
2015-06,42
2015-07,31
2015-08,17
2015-09,10
2015-10,8
2015-11,6
2015-12,6
2016-01,7
2016-02,11
2016-03,16
2016-04,24
2016-05,37
2016-06,48
2016-07,33
2016-08,18
2016-09,10
2016-10,9
2016-11,7
2016-12,7
2017-01,8
2017-02,11
2017-03,19
2017-04,27
2017-05,43
2017-06,50
2017-07,38
2017-08,20
2017-09,12
2017-10,10
2017-11,9
2017-12,9
2018-01,10
2018-02,14
2018-03,20
2018-04,29
2018-05,54
2018-06,54
2018-07,46
2018-08,25
2018-09,13
2018-10,10
2018-11,10
2018-12,9
2019-01,13
2019-02,17
2019-03,26
2019-04,37
2019-05,60
2019-06,64
2019-07,53
2019-08,29
2019-09,18
2019-10,13
2019-11,11
2019-12,11
2020-01,16
2020-02,20
2020-03,17
2020-04,23
2020-05,48
2020-06,59
2020-07,50
2020-08,30
2020-09,20
2020-10,16
2020-11,14
2020-12,16
2021-01,20
2021-02,25
2021-03,42
2021-04,55
2021-05,67
2021-06,87
2021-07,97
2021-08,44
2021-09,29
2021-10,22
2021-11,20
2021-12,18
2022-01,23
2022-02,32
2022-03,47
2022-04,59
2022-05,87
2022-06,100
2022-07,81
2022-08,51
2022-09,36
2022-10,26
2022-11,25
2022-12,24
