Month,exfoliant: (United States)
2004-01,23
2004-02,0
2004-03,14
2004-04,58
2004-05,13
2004-06,57
2004-07,10
2004-08,11
2004-09,11
2004-10,23
2004-11,10
2004-12,29
2005-01,14
2005-02,7
2005-03,20
2005-04,34
2005-05,10
2005-06,11
2005-07,17
2005-08,14
2005-09,26
2005-10,18
2005-11,13
2005-12,15
2006-01,9
2006-02,11
2006-03,12
2006-04,9
2006-05,17
2006-06,18
2006-07,14
2006-08,8
2006-09,4
2006-10,9
2006-11,7
2006-12,9
2007-01,13
2007-02,13
2007-03,10
2007-04,14
2007-05,15
2007-06,15
2007-07,16
2007-08,13
2007-09,14
2007-10,9
2007-11,11
2007-12,10
2008-01,15
2008-02,8
2008-03,13
2008-04,13
2008-05,9
2008-06,13
2008-07,14
2008-08,18
2008-09,13
2008-10,12
2008-11,21
2008-12,13
2009-01,14
2009-02,14
2009-03,14
2009-04,19
2009-05,13
2009-06,22
2009-07,12
2009-08,12
2009-09,15
2009-10,20
2009-11,9
2009-12,18
2010-01,13
2010-02,11
2010-03,13
2010-04,14
2010-05,21
2010-06,17
2010-07,17
2010-08,17
2010-09,15
2010-10,10
2010-11,14
2010-12,14
2011-01,20
2011-02,15
2011-03,20
2011-04,18
2011-05,18
2011-06,19
2011-07,17
2011-08,15
2011-09,16
2011-10,15
2011-11,14
2011-12,17
2012-01,18
2012-02,17
2012-03,20
2012-04,18
2012-05,20
2012-06,18
2012-07,22
2012-08,19
2012-09,15
2012-10,18
2012-11,23
2012-12,16
2013-01,20
2013-02,19
2013-03,20
2013-04,20
2013-05,17
2013-06,22
2013-07,26
2013-08,19
2013-09,17
2013-10,19
2013-11,22
2013-12,19
2014-01,23
2014-02,25
2014-03,22
2014-04,26
2014-05,27
2014-06,21
2014-07,25
2014-08,24
2014-09,23
2014-10,20
2014-11,18
2014-12,24
2015-01,22
2015-02,21
2015-03,26
2015-04,28
2015-05,23
2015-06,28
2015-07,29
2015-08,28
2015-09,27
2015-10,21
2015-11,25
2015-12,24
2016-01,32
2016-02,29
2016-03,30
2016-04,30
2016-05,30
2016-06,33
2016-07,24
2016-08,23
2016-09,25
2016-10,22
2016-11,27
2016-12,27
2017-01,29
2017-02,25
2017-03,31
2017-04,40
2017-05,31
2017-06,32
2017-07,38
2017-08,30
2017-09,30
2017-10,34
2017-11,27
2017-12,34
2018-01,37
2018-02,39
2018-03,40
2018-04,35
2018-05,34
2018-06,35
2018-07,36
2018-08,36
2018-09,27
2018-10,31
2018-11,32
2018-12,36
2019-01,36
2019-02,38
2019-03,41
2019-04,41
2019-05,45
2019-06,45
2019-07,42
2019-08,41
2019-09,39
2019-10,36
2019-11,40
2019-12,51
2020-01,52
2020-02,49
2020-03,44
2020-04,68
2020-05,72
2020-06,58
2020-07,66
2020-08,64
2020-09,58
2020-10,58
2020-11,55
2020-12,56
2021-01,70
2021-02,71
2021-03,80
2021-04,70
2021-05,60
2021-06,61
2021-07,62
2021-08,59
2021-09,57
2021-10,52
2021-11,62
2021-12,62
2022-01,72
2022-02,77
2022-03,76
2022-04,71
2022-05,72
2022-06,69
2022-07,72
2022-08,100
2022-09,85
2022-10,82
2022-11,84
2022-12,86
