Month,Popularity
2004-01,9
2004-02,13
2004-03,13
2004-04,0
2004-05,6
2004-06,0
2004-07,21
2004-08,8
2004-09,11
2004-10,12
2004-11,10
2004-12,9
2005-01,5
2005-02,15
2005-03,12
2005-04,6
2005-05,5
2005-06,12
2005-07,9
2005-08,11
2005-09,6
2005-10,7
2005-11,7
2005-12,15
2006-01,9
2006-02,10
2006-03,10
2006-04,3
2006-05,11
2006-06,10
2006-07,10
2006-08,7
2006-09,13
2006-10,10
2006-11,8
2006-12,5
2007-01,10
2007-02,6
2007-03,16
2007-04,10
2007-05,14
2007-06,8
2007-07,9
2007-08,11
2007-09,6
2007-10,12
2007-11,13
2007-12,10
2008-01,12
2008-02,14
2008-03,14
2008-04,7
2008-05,11
2008-06,10
2008-07,12
2008-08,14
2008-09,9
2008-10,12
2008-11,15
2008-12,15
2009-01,17
2009-02,14
2009-03,14
2009-04,12
2009-05,14
2009-06,14
2009-07,20
2009-08,19
2009-09,14
2009-10,17
2009-11,19
2009-12,15
2010-01,20
2010-02,21
2010-03,22
2010-04,18
2010-05,16
2010-06,15
2010-07,18
2010-08,22
2010-09,17
2010-10,17
2010-11,16
2010-12,17
2011-01,23
2011-02,25
2011-03,25
2011-04,25
2011-05,21
2011-06,23
2011-07,24
2011-08,27
2011-09,21
2011-10,21
2011-11,23
2011-12,26
2012-01,28
2012-02,28
2012-03,28
2012-04,25
2012-05,28
2012-06,28
2012-07,30
2012-08,34
2012-09,31
2012-10,28
2012-11,26
2012-12,31
2013-01,31
2013-02,30
2013-03,32
2013-04,32
2013-05,29
2013-06,29
2013-07,34
2013-08,36
2013-09,33
2013-10,31
2013-11,32
2013-12,30
2014-01,35
2014-02,37
2014-03,37
2014-04,33
2014-05,32
2014-06,34
2014-07,37
2014-08,33
2014-09,33
2014-10,31
2014-11,33
2014-12,35
2015-01,37
2015-02,34
2015-03,33
2015-04,32
2015-05,30
2015-06,35
2015-07,36
2015-08,40
2015-09,31
2015-10,30
2015-11,39
2015-12,39
2016-01,45
2016-02,44
2016-03,41
2016-04,42
2016-05,41
2016-06,41
2016-07,42
2016-08,43
2016-09,41
2016-10,41
2016-11,43
2016-12,47
2017-01,54
2017-02,46
2017-03,55
2017-04,53
2017-05,55
2017-06,50
2017-07,65
2017-08,61
2017-09,54
2017-10,60
2017-11,56
2017-12,64
2018-01,61
2018-02,61
2018-03,63
2018-04,59
2018-05,55
2018-06,58
2018-07,64
2018-08,62
2018-09,57
2018-10,56
2018-11,60
2018-12,62
2019-01,65
2019-02,63
2019-03,65
2019-04,61
2019-05,65
2019-06,66
2019-07,69
2019-08,71
2019-09,60
2019-10,57
2019-11,63
2019-12,70
2020-01,74
2020-02,75
2020-03,66
2020-04,90
2020-05,100
2020-06,93
2020-07,96
2020-08,87
2020-09,78
2020-10,77
2020-11,75
2020-12,83
2021-01,86
2021-02,82
2021-03,74
2021-04,76
2021-05,66
2021-06,69
2021-07,68
2021-08,68
2021-09,63
2021-10,60
2021-11,70
2021-12,69
2022-01,78
2022-02,81
2022-03,79
2022-04,70
2022-05,66
2022-06,69
2022-07,75
2022-08,77
2022-09,71
2022-10,66
2022-11,71
2022-12,78
