QUERIES_TOP  ,QUERIES_TOP popularity,QUERIES_RISING,QUERIES_RISING POPULARITY
Cleanser,100,Cleanser,Breakout
Face,92,Cream,Breakout
good,27,Cetaphil,Breakout
Skin,24,Toner,Breakout
Acne,14,Washing,Breakout
Oil,10,Brush,Breakout
Cream,9,Xeroderma,Breakout
Moisturizer,8,Fresh Soy Face Cleanser,Breakout
CeraVe,7,Face mask,Breakout
Exfoliation,6,Oily skin,Breakout
Facial Cleansers,6,Gel,Breakout
Cetaphil,5,Soap,Breakout
Mask,5,Salicylic acid,Breakout
Neutrogena,5,Sunscreen,Breakout
Skin care,5,CeraVe Hydrating Cleanser,Breakout
Toner,4,Facial Scrub,Breakout
Product,4,Ingredient,Breakout
Washing,4,Foam,Breakout
Sensitive skin,4,Comedo,Breakout
Facial,4,Aveeno,Breakout
Brush,4,drugstore,Breakout
Xeroderma,3,Serum,Breakout
Fresh Soy Face Cleanser,3,Sephora,Breakout
Face mask,3,Vitamin,Breakout
Cetaphil Gentle Skin Cleanser,3,First Aid Beauty,Breakout
