Month,Popularity
2004-01,19
2004-02,24
2004-03,8
2004-04,15
2004-05,16
2004-06,16
2004-07,12
2004-08,16
2004-09,19
2004-10,17
2004-11,14
2004-12,21
2005-01,21
2005-02,14
2005-03,13
2005-04,15
2005-05,16
2005-06,19
2005-07,16
2005-08,15
2005-09,15
2005-10,14
2005-11,13
2005-12,15
2006-01,14
2006-02,18
2006-03,22
2006-04,14
2006-05,15
2006-06,16
2006-07,14
2006-08,15
2006-09,14
2006-10,16
2006-11,18
2006-12,16
2007-01,21
2007-02,20
2007-03,14
2007-04,17
2007-05,19
2007-06,21
2007-07,20
2007-08,19
2007-09,18
2007-10,16
2007-11,20
2007-12,20
2008-01,24
2008-02,24
2008-03,23
2008-04,23
2008-05,21
2008-06,21
2008-07,19
2008-08,20
2008-09,19
2008-10,20
2008-11,25
2008-12,25
2009-01,23
2009-02,29
2009-03,26
2009-04,26
2009-05,23
2009-06,25
2009-07,27
2009-08,29
2009-09,23
2009-10,27
2009-11,28
2009-12,27
2010-01,31
2010-02,32
2010-03,29
2010-04,26
2010-05,28
2010-06,27
2010-07,26
2010-08,25
2010-09,27
2010-10,25
2010-11,25
2010-12,27
2011-01,41
2011-02,39
2011-03,36
2011-04,33
2011-05,32
2011-06,32
2011-07,32
2011-08,34
2011-09,29
2011-10,33
2011-11,34
2011-12,38
2012-01,43
2012-02,38
2012-03,38
2012-04,39
2012-05,42
2012-06,38
2012-07,39
2012-08,42
2012-09,38
2012-10,38
2012-11,44
2012-12,39
2013-01,48
2013-02,46
2013-03,50
2013-04,46
2013-05,46
2013-06,41
2013-07,45
2013-08,45
2013-09,39
2013-10,45
2013-11,47
2013-12,48
2014-01,57
2014-02,55
2014-03,56
2014-04,50
2014-05,47
2014-06,50
2014-07,50
2014-08,46
2014-09,45
2014-10,46
2014-11,50
2014-12,49
2015-01,58
2015-02,54
2015-03,55
2015-04,56
2015-05,51
2015-06,52
2015-07,51
2015-08,48
2015-09,49
2015-10,51
2015-11,60
2015-12,61
2016-01,70
2016-02,61
2016-03,60
2016-04,65
2016-05,67
2016-06,57
2016-07,56
2016-08,54
2016-09,55
2016-10,60
2016-11,62
2016-12,65
2017-01,73
2017-02,76
2017-03,71
2017-04,65
2017-05,64
2017-06,61
2017-07,67
2017-08,59
2017-09,61
2017-10,70
2017-11,67
2017-12,71
2018-01,77
2018-02,71
2018-03,73
2018-04,64
2018-05,61
2018-06,64
2018-07,66
2018-08,68
2018-09,61
2018-10,66
2018-11,71
2018-12,75
2019-01,79
2019-02,74
2019-03,79
2019-04,73
2019-05,70
2019-06,71
2019-07,71
2019-08,68
2019-09,66
2019-10,68
2019-11,72
2019-12,76
2020-01,87
2020-02,82
2020-03,67
2020-04,88
2020-05,95
2020-06,84
2020-07,77
2020-08,72
2020-09,67
2020-10,69
2020-11,69
2020-12,78
2021-01,93
2021-02,87
2021-03,87
2021-04,77
2021-05,70
2021-06,69
2021-07,70
2021-08,71
2021-09,68
2021-10,72
2021-11,81
2021-12,78
2022-01,87
2022-02,87
2022-03,98
2022-04,92
2022-05,84
2022-06,80
2022-07,84
2022-08,83
2022-09,76
2022-10,81
2022-11,91
2022-12,100
