QUERIES_TOP  ,QUERIES_TOP popularity,QUERIES_RISING,QUERIES_RISING POPULARITY
Skin care,100,The Ordinary,Breakout
Skin,14,IMAGE Skincare,Breakout
Product,7,Korean,Breakout
The Ordinary,6,Vitamin C,Breakout
Face,5,Revision Skincare,Breakout
Cosmetics,4,Serum,Breakout
Acne,4,Ulta Beauty,Breakout
Cream,4,Refrigerator,Breakout
IMAGE Skincare,3,Human skin,Breakout
Brand,3,REN,Breakout
Korean,2,Hyram,Breakout
Cleanser,2,Pimples,Breakout
Beauty,2,CeraVe,Breakout
Moisturizer,2,Face mask,Breakout
Vitamin A,2,Proven,Breakout
Mask,2,No7,Breakout
TULA,2,Lancer Skincare,Breakout
Sephora,2,Scar,Breakout
Sunscreen,2,Simple Skincare,Breakout
Serum,2,Paula's Choice,Breakout
Ingredient,2,drugstore,Breakout
Vitamin,1,EltaMD,Breakout
Ageing,1,Foundation,Breakout
Vitamin C,1,Vitamin A,700%
Revision Skincare,1,Mask,250%
