State,Popularity
Hawaii,100
California,53
New York,51
Florida,49
New Jersey,47
Colorado,46
Massachusetts,45
Rhode Island,45
Washington,44
Nevada,43
Utah,43
Arizona,43
Maryland,43
Delaware,43
Minnesota,42
North Carolina,41
Connecticut,41
Idaho,41
New Hampshire,41
South Carolina,40
Texas,39
Pennsylvania,39
Oregon,38
Virginia,37
Maine,37
Tennessee,36
Illinois,35
Ohio,35
Iowa,35
Alabama,35
Michigan,34
Wisconsin,34
New Mexico,34
Indiana,34
Louisiana,34
Missouri,34
Vermont,34
Georgia,33
Nebraska,33
District of Columbia,33
Montana,31
Oklahoma,31
Kansas,31
Wyoming,30
Kentucky,29
Arkansas,29
North Dakota,28
South Dakota,28
Mississippi,28
West Virginia,27
Alaska,22
